Date,Close/Last,Volume,Open,High,Low
12/1/2020,122.72,128166800,121.01,123.47,120.01
11/30/2020,119.05,169410200,116.97,120.97,116.81
11/27/2020,116.59,46691330,116.57,117.49,116.22
11/25/2020,116.03,76499230,115.55,116.75,115.17
11/24/2020,115.17,113874200,113.91,115.85,112.59
11/23/2020,113.85,127959300,117.18,117.62,113.75
11/20/2020,117.34,73604290,118.64,118.77,117.29
11/19/2020,118.64,74112970,117.59,119.06,116.81
11/18/2020,118.03,76322110,118.61,119.82,118.00
11/17/2020,119.39,74270970,119.55,120.67,118.96
11/16/2020,120.30,91183020,118.92,120.99,118.15
11/13/2020,119.26,81688590,119.44,119.67,117.87
11/12/2020,119.21,103350700,119.62,120.53,118.57
11/11/2020,119.49,112295000,117.19,119.63,116.44
11/10/2020,115.97,138023400,115.55,117.59,114.13
11/9/2020,116.32,154515300,120.50,121.99,116.05
11/6/2020,118.69,114457900,118.32,119.20,116.13
11/5/2020,119.03,126387100,117.95,119.62,116.87
11/4/2020,114.95,138235500,114.14,115.59,112.35
11/3/2020,110.44,107624400,109.66,111.49,108.73
11/2/2020,108.77,122866900,109.11,110.68,107.32
10/30/2020,108.86,190573500,111.06,111.99,107.72
10/29/2020,115.32,146129200,112.37,116.93,112.20
10/28/2020,111.20,143937800,115.05,115.43,111.10
10/27/2020,116.60,92276770,115.49,117.28,114.54
10/26/2020,115.05,111850700,114.01,116.55,112.88
10/23/2020,115.04,82572650,116.39,116.55,114.28
10/22/2020,115.75,101988000,117.45,118.04,114.59
10/21/2020,116.87,89945980,116.67,118.71,116.45
10/20/2020,117.51,124423700,116.20,118.98,115.63
10/19/2020,115.98,120639300,119.96,120.42,115.66
10/16/2020,119.02,115393800,121.28,121.55,118.81
10/15/2020,120.71,112559200,118.72,121.20,118.15
10/14/2020,121.19,151062300,121.00,123.03,119.62
10/13/2020,121.10,262330500,125.27,125.39,119.65
10/12/2020,124.40,240226800,120.06,125.18,119.28
10/9/2020,116.97,100506900,115.28,117.00,114.92
10/8/2020,114.97,83477150,116.25,116.40,114.59
10/7/2020,115.08,96848990,114.62,115.55,114.13
10/6/2020,113.16,161498200,115.70,116.12,112.25
10/5/2020,116.50,106243800,113.91,116.65,113.55
10/2/2020,113.02,144712000,112.89,115.37,112.22
10/1/2020,116.79,116120400,117.64,117.72,115.83
9/30/2020,115.81,142675200,113.79,117.26,113.62
9/29/2020,114.09,100060500,114.55,115.31,113.57
9/28/2020,114.96,137672400,115.01,115.32,112.78
9/25/2020,112.28,149981400,108.43,112.44,107.67
9/24/2020,108.22,167743300,105.17,110.25,105.00
9/23/2020,107.12,150718700,111.62,112.11,106.77
9/22/2020,111.81,183055400,112.68,112.86,109.16
9/21/2020,110.08,195713800,104.54,110.19,103.10
9/18/2020,106.84,287104900,110.40,110.88,106.09
9/17/2020,110.34,178011000,109.72,112.20,108.71
9/16/2020,112.13,155026700,115.23,116.00,112.04
9/15/2020,115.54,184642000,118.33,118.83,113.61
9/14/2020,115.36,140150100,114.72,115.93,112.80
9/11/2020,112.00,180860300,114.57,115.23,110.00
9/10/2020,113.49,182274400,120.36,120.50,112.50
9/9/2020,117.32,176940500,117.26,119.14,115.26
9/8/2020,112.82,231366600,113.95,118.99,112.68
9/4/2020,120.96,332607200,120.07,123.70,110.89
9/3/2020,120.88,257599600,126.91,128.84,120.50
9/2/2020,131.40,200119000,137.59,137.98,127.00
9/1/2020,134.18,152470100,132.76,134.80,130.53
8/31/2020,129.04,225702700,127.58,131.00,126.00
8/28/2020,124.81,187629920,126.01,126.44,124.58
8/27/2020,125.01,155552400,127.14,127.49,123.83
8/26/2020,126.52,163022280,126.18,126.99,125.08
8/25/2020,124.83,211495800,124.70,125.18,123.05
8/24/2020,125.86,345937760,128.70,128.79,123.94
8/21/2020,124.37,338054640,119.26,124.87,119.25
8/20/2020,118.28,126907200,115.75,118.39,115.73
8/19/2020,115.71,145538000,115.98,117.16,115.61
8/18/2020,115.56,105633560,114.35,116.00,114.01
8/17/2020,114.61,119561440,116.06,116.09,113.96
8/14/2020,114.91,165565200,114.83,115.00,113.05
8/13/2020,115.01,210082080,114.43,116.04,113.93
8/12/2020,113.01,165944840,110.50,113.28,110.30
8/11/2020,109.38,187902360,111.97,112.48,109.11
8/10/2020,112.73,212403440,112.60,113.78,110.00
8/7/2020,111.11,198045600,113.21,113.68,110.29
8/6/2020,113.90,202428920,110.41,114.41,109.80
8/5/2020,110.06,121991960,109.38,110.39,108.90
8/4/2020,109.67,172792360,109.13,110.79,108.39
8/3/2020,108.94,308151400,108.20,111.64,107.89
7/31/2020,106.26,374295480,102.88,106.42,100.83
7/30/2020,96.19,158130040,94.19,96.30,93.77
7/29/2020,95.04,90329240,93.75,95.23,93.71
7/28/2020,93.25,103625520,94.37,94.55,93.25
7/27/2020,94.81,121214200,93.71,94.91,93.48
7/24/2020,92.62,185438880,90.99,92.97,89.15
7/23/2020,92.85,197004440,97.00,97.08,92.01
7/22/2020,97.27,89001640,96.69,97.98,96.60
7/21/2020,97.00,103645840,99.17,99.25,96.74
7/20/2020,98.36,90317920,96.42,98.50,96.06
7/17/2020,96.33,92186920,96.99,97.15,95.84
7/16/2020,96.52,110577680,96.56,97.41,95.91
7/15/2020,97.73,153197920,98.99,99.25,96.49
7/14/2020,97.06,170989360,94.84,97.26,93.88
7/13/2020,95.48,191649160,97.27,99.96,95.26
7/10/2020,95.92,90257320,95.34,95.98,94.71
7/9/2020,95.68,125642600,96.26,96.32,94.67
7/8/2020,95.34,117091880,94.18,95.38,94.09
7/7/2020,93.17,112424440,93.85,94.66,93.06
7/6/2020,93.46,118655640,92.50,93.95,92.47
7/2/2020,91.03,114041480,91.96,92.62,90.91
7/1/2020,91.03,110737240,91.28,91.84,90.98
6/30/2020,91.20,140223280,90.02,91.50,90.00
6/29/2020,90.45,130646080,88.31,90.54,87.82
6/26/2020,88.41,205256840,91.10,91.33,88.26
6/25/2020,91.21,137522520,90.18,91.25,89.39
6/24/2020,90.02,192623400,91.25,92.20,89.63
6/23/2020,91.63,212155480,91.00,93.10,90.57
6/22/2020,89.72,135445280,87.84,89.87,87.79
6/19/2020,87.43,264475800,88.66,89.14,86.29
6/18/2020,87.93,96820400,87.85,88.36,87.31
6/17/2020,87.90,114406520,88.79,88.85,87.77
6/16/2020,88.02,165428720,87.87,88.30,86.18
6/15/2020,85.75,138808920,83.31,86.42,83.15
6/12/2020,84.70,200146040,86.18,86.95,83.56
6/11/2020,83.98,201662440,87.33,87.77,83.87
6/10/2020,88.21,166651760,86.98,88.69,86.52
6/9/2020,86.00,147712360,83.04,86.40,83.00
6/8/2020,83.37,95654520,82.56,83.40,81.83
6/5/2020,82.88,137250200,80.84,82.94,80.81
6/4/2020,80.58,87560360,81.10,81.41,80.20
6/3/2020,81.28,104491200,81.17,81.55,80.58
6/2/2020,80.84,87642800,80.19,80.86,79.73
6/1/2020,80.46,81018600,79.44,80.59,79.30
5/29/2020,79.49,153598120,79.81,80.29,79.12
5/28/2020,79.56,133796400,79.19,80.86,78.91
5/27/2020,79.53,112945080,79.04,79.68,78.27
5/26/2020,79.18,125521800,80.88,81.06,79.13
5/22/2020,79.72,81803000,78.94,79.81,78.84
5/21/2020,79.21,102688840,79.67,80.22,78.97
5/20/2020,79.81,111504880,79.17,79.88,79.05
5/19/2020,78.29,101729560,78.76,79.63,78.25
5/18/2020,78.74,135372520,78.29,79.13,77.58
5/15/2020,76.93,166348360,75.09,76.98,75.05
5/14/2020,77.39,158929080,76.13,77.45,75.38
5/13/2020,76.91,200622560,78.04,78.99,75.80
5/12/2020,77.85,162301040,79.46,79.92,77.73
5/11/2020,78.75,145946240,77.03,79.26,76.81
5/8/2020,77.53,134047960,76.41,77.59,76.07
